fignum,chapter,title,subtitle,source,fname
0.1,0,Time line of mile stone events,"Classified by place of development. Tick marks at the bottom show individual events. The smoothed curves plot their relative frequency, in Europe and North America.",© The Authors.,0.1-mileyears4.png
1.1,1,Some of the graphic forms used to represent numbers,"(a) A clay cuneiform tablet dated as 3300–3100 BCE, giving an account of yields of barley; (b) quipus, a system of knots tied in ropes used by South American Incas, around 1000 CE; (c) symbols used in Mayan culture, around 500 CE, showing the numbers 0–19; (d) a scheme proposed by John W. Tukey (1977) to tally counts of observations by hand, using dots and lines in groups of 10. Sources: (a) Britannica.com; (b) L. Leland Locke, The Ancient Quipu, Washington, DC: The American Museum of Natural History, 1923, fig. 1; (c) Neuromancer2K4 / Bryan Derksen / Wikimedia Commons / GNU Free Documentation License; (d) Pinethicket / Wikimedia Commons / GNU Free Documentation License.",,1.1-composite.png
1.1,1,Some of the graphic forms used to represent numbers,"(a) A clay cuneiform tablet dated as 3300–3100 BCE, giving an account of yields of barley; (b) quipus, a system of knots tied in ropes used by South American Incas, around 1000 CE; (c) symbols used in Mayan culture, around 500 CE, showing the numbers 0–19; (d) a scheme proposed by John W. Tukey (1977) to tally counts of observations by hand, using dots and lines in groups of 10. Sources: (a) Britannica.com; (b) L. Leland Locke, The Ancient Quipu, Washington, DC: The American Museum of Natural History, 1923, fig. 1; (c) Neuromancer2K4 / Bryan Derksen / Wikimedia Commons / GNU Free Documentation License; (d) Pinethicket / Wikimedia Commons / GNU Free Documentation License.",,1.1-MannGulch-cropped.png
1.2,1,Wrestling instructions,Successive moments of a wrestling match between two people. From a drawing on the east wall of the tomb of Baqt at the Beni Hasan cemetery (ca. 2000 BCE).,Wikimedia Commons.,1.2-Egyptmotionseries.jpg
1.2,1,Wrestling instructions,Successive moments of a wrestling match between two people. From a drawing on the east wall of the tomb of Baqt at the Beni Hasan cemetery (ca. 2000 BCE).,Wikimedia Commons.,1.2-Kovno-cropped.png
1.3,1,Reconstructions of ancient Greek world maps,Left: the world according to Anaximander of Miletus; right: a more detailed version due to Hecataeus.,Bibi Saint-Paul / Wikimedia.,1.3-Anaximander-Hecateus.png
1.3,1,Reconstructions of ancient Greek world maps,Left: the world according to Anaximander of Miletus; right: a more detailed version due to Hecataeus.,Bibi Saint-Paul / Wikimedia.,1.3-Minard-march.png
1.4,1,Robert Plot's History of the Weather,The graph records the daily barometric pressure in Oxford for the year 1684.,"Robert Plot, “Observations of the Wind, Weather, and Height of the Mercury in the Barometer, throughout the Year 1684; Taken in the Musaeum Ashmoleanum at Oxford,” Philosophical Transactions, Vol. 15, 930–943.",1.4-Minard-Hannibal.png
1.4,1,Robert Plot's History of the Weather,The graph records the daily barometric pressure in Oxford for the year 1684.,"Robert Plot, “Observations of the Wind, Weather, and Height of the Mercury in the Barometer, throughout the Year 1684; Taken in the Musaeum Ashmoleanum at Oxford,” Philosophical Transactions, Vol. 15, 930–943.",1.4-plot-weather-new.png
1.5,1,Huygens’s survival graph,"Christiaan Huygens’s 1669 curve showing how many people out of a hundred survive between the ages of infancy and eighty-six. The data are taken from John Graunt’s Natural and Political Observations on the Bills of Mortality, 1662.","Christiaan Huygens, Oeuvres Complètes, Volume 6. La Haye: M. Nijhoff, 1895.",1.5-huygens1669-better.png
1.5,1,Huygens’s survival graph,"Christiaan Huygens’s 1669 curve showing how many people out of a hundred survive between the ages of infancy and eighty-six. The data are taken from John Graunt’s Natural and Political Observations on the Bills of Mortality, 1662.","Christiaan Huygens, Oeuvres Complètes, Volume 6. La Haye: M. Nijhoff, 1895.",1.5-Leonardo-uterus.png
1.6,1,Chart of biography,Lifespans of fifty-nine famous people in the six centuries before Christ.,"Joseph Priestley, A Chart of Biography, London, 1765.",1.6-DuBois-slaves.png
1.6,1,Chart of biography,Lifespans of fifty-nine famous people in the six centuries before Christ.,"Joseph Priestley, A Chart of Biography, London, 1765.",1.6-priestley-chart-biography-better.png
1.7,1,Graphical train schedule,"E. J. Marey’s (1878) graphical train schedule, showing all trains between Paris and Lyon each day.","Étienne-Jules Marey, La méthode graphique dans les sciences expérimentales et principalement en physiologie et en médecine. Paris: G. Masson, 1878.",1.7-DuBois-negro-pop-cropped.png
1.7,1,Graphical train schedule,"E. J. Marey’s (1878) graphical train schedule, showing all trains between Paris and Lyon each day.","Étienne-Jules Marey, La méthode graphique dans les sciences expérimentales et principalement en physiologie et en médecine. Paris: G. Masson, 1878.",1.7-marey-trains.png
10.1,10,Mann Gulch fire,"Distance and time graph of the estimated positions of the crew and the fire. Distances are estimated from the crew’s turnaround at point (Pt. 6). The slopes of the lines indicate the rate of movement; the steeper the line, the faster the rate. The entire tragedy took less than thirty minutes.","Norman Maclean, Young Men and Fire. Chicago: University of Chicago Press, 1992, page 269.",
10.10,10,Relative growth line chart,“Comparative rate of increase of the White and Negro elements of the population of the United States.”,"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33902.",
10.2,10,Kovno Ghetto,"The population losses in the Kovno Ghetto due primarily to the“Great Action” of October 28, 1941. Males are represented on the left, females on the right. The shaded portion represents those still surviving in November. The central column indicates the age groups from 0–9-year-olds at the bottom to 70 and older at the top.",United States Holocaust Museum.,
10.3,10,Napoleon march graphic,Charles Joseph Minard’s narrative map of Napoleon’s disastrous 1812 Russian campaign. The width of the gray “river” is proportional to the size of Napoleon’s invading army; its black continuation shows the size of the returning army.,"Reproduction courtesy of Archives, École Nationale des Ponts et Chaussées.",
10.4,10,Hannibal graphic,"Minard’s depiction of Hannibal’s army, as it treks across Spain and France on a brilliant military campaign, but then suffers huge losses attempting to cross the Alps.","Reproduction courtesy of Archives, École Nationale des Ponts et Chaussées.",
10.5,10,Da Vinci’s notebook,"Leonardo’s graphic story of a fetus told with words and incomparable pictures that disproved Galen of Pergamum’s claim about women’s bicameral uterus, which had persisted unchallenged for 1,400 years.",Wikimedia Commons.,
10.6,10,Effect of the Emancipation Proclamation,"“Proportion of freemen and slaves among American Negroes, from 1790 to 1870.”","Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33913.",
10.7,10,Du Bois’s bar chart,Increase of the Negro population of the United States from 1750 until 1890.,"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33901.",
