     "Country","Nobel","IKEA","GDP","Tea","Chocolate","Wine"
"AU","Australia",5.451,2.27111932,60642.2414,0.51,4.5,3.12
"AT","Austria",24.332,8.516081342,49707.0882,0.1,8.5,4.1
"BE","Belgium",8.622,5.748033239,46469.2345,0.14,4.4,3.55
"BR","Brazil",0.05,0,12593.8929,0.018,2.9,0.33
"CA","Canada",6.122,3.206989324,50345.4349,0.41,3.9,1.5
"CN","China",0.06,0.089336237,5444.7853,0.82,0.7,0.15
"DK","Denmark",25.255,9.019648944,59683.7605,0.23,8.6,4.43
"FI","Finland",7.6,7.600329094,49391.2815,0.22,7.3,2.24
"FR","France",8.99,4.266296628,42377.4181,0.21,6.3,8.14
"DE","Germany",12.668,5.657649063,43689.3468,0.23,11.6,3.15
"GR","Greece",1.857,4.643462418,26427.246,0.14,2.5,4.51
"IE","Ireland",12.706,2.11773416,48423.2226,3.22,8.8,2.75
"IT","Italy",3.265,3.101470956,36115.6877,0.1,3.7,6.38
"JP","Japan",1.492,0.39256301,45902.6716,0.99,1.8,0.29
"NO","Norway",23.368,12.74624145,98102.4622,0.22,9.4,2
"PL","Poland",1.302,2.082504453,13462.8547,0.87,3.6,3.26
"PT","Portugal",1.855,2.782554754,22329.8001,0.092,2,6.65
"ES","Spain",1.701,3.613716341,32244.1813,0.055,3.6,3.59
"SE","Sweden",31.855,18.67354556,56927.0205,0.4,6.4,2.9
"CH","Switzerland",31.544,10.09397873,80390.8072,0.22,11.9,5.1
"NL","Netherlands",11.356,7.172472624,50087.2631,0.71,4.5,3.26
"GB","United Kingdom",18.875,2.855005591,38817.8463,1.89,9.7,3.53
"US","United States",10.77,1.210779255,48441.5647,0.33,5.3,1.36
